Fecha;Chats
16/10/2023;4180
17/10/2023;3172
18/10/2023;2569
19/10/2023;2532
20/10/2023;3444
21/10/2023;4234
22/10/2023;3950
23/10/2023;2978
24/10/2023;2519
25/10/2023;2469
26/10/2023;2659
27/10/2023;3761
28/10/2023;4595
29/10/2023;4744
30/10/2023;2711
31/10/2023;3611
01/11/2023;3821
02/11/2023;4153
03/11/2023;3867
04/11/2023;4434
05/11/2023;4269
06/11/2023;3025
07/11/2023;2631
08/11/2023;2632
09/11/2023;2712
10/11/2023;4115
11/11/2023;3678
12/11/2023;4455
13/11/2023;2601
14/11/2023;2162
15/11/2023;2838
16/11/2023;2927
17/11/2023;3352
18/11/2023;3040
19/11/2023;3645
20/11/2023;3503
21/11/2023;3150
22/11/2023;2511
23/11/2023;2523
24/11/2023;3041
25/11/2023;3192
26/11/2023;3949
27/11/2023;2581
28/11/2023;2246
29/11/2023;2217
30/11/2023;2522
01/12/2023;4204
02/12/2023;3487
03/12/2023;3794
04/12/2023;2745
05/12/2023;2988
06/12/2023;3112
07/12/2023;3510
08/12/2023;3777
09/12/2023;3353
10/12/2023;3431
11/12/2023;2813
12/12/2023;2657
13/12/2023;2720
14/12/2023;2722
15/12/2023;3192
16/12/2023;3811
17/12/2023;3797
18/12/2023;2893
19/12/2023;2640
20/12/2023;2709
21/12/2023;2584
22/12/2023;3138
23/12/2023;3037
24/12/2023;2221
25/12/2023;2336
26/12/2023;2495
27/12/2023;2252
28/12/2023;2367
29/12/2023;2630
30/12/2023;2628
31/12/2023;2223
01/01/2024;2496
02/01/2024;2698
03/01/2024;2286
04/01/2024;2166
05/01/2024;2513
06/01/2024;2736
07/01/2024;3519
08/01/2024;2228
09/01/2024;2088
10/01/2024;2127
11/01/2024;2033
12/01/2024;2229
13/01/2024;2415
14/01/2024;2802
15/01/2024;2028
16/01/2024;2032
17/01/2024;1831
18/01/2024;1879
19/01/2024;2112
20/01/2024;2353
21/01/2024;2533
22/01/2024;1944
23/01/2024;1759
24/01/2024;1834
25/01/2024;1905
26/01/2024;2551
27/01/2024;2340
28/01/2024;2447
29/01/2024;1947
30/01/2024;1930
31/01/2024;2136
01/02/2024;2280
02/02/2024;2460
03/02/2024;2622
04/02/2024;2718
05/02/2024;2105
06/02/2024;2119
07/02/2024;2080
08/02/2024;2346
09/02/2024;2949
10/02/2024;2512
11/02/2024;2940
12/02/2024;3079
13/02/2024;2321
14/02/2024;2979
15/02/2024;2266
16/02/2024;2074
17/02/2024;2360
18/02/2024;2703
19/02/2024;1908
20/02/2024;1811
21/02/2024;1837
22/02/2024;1981
23/02/2024;2126
24/02/2024;2369
25/02/2024;2702
26/02/2024;1901
27/02/2024;1621
28/02/2024;1804
29/02/2024;1828
01/03/2024;1923
02/03/2024;2499
03/03/2024;2384
04/03/2024;1870
05/03/2024;1712
06/03/2024;1829
07/03/2024;1728
08/03/2024;2827
09/03/2024;2571
10/03/2024;2476
11/03/2024;2048
12/03/2024;1981
13/03/2024;1898
14/03/2024;1970
15/03/2024;2315
16/03/2024;2421
17/03/2024;2608
18/03/2024;1874
19/03/2024;2163
20/03/2024;2158
21/03/2024;1828
22/03/2024;2342
23/03/2024;2207
24/03/2024;2473
25/03/2024;1591
26/03/2024;1581
27/03/2024;2166
28/03/2024;2221
29/03/2024;2150
30/03/2024;1995
31/03/2024;2405
01/04/2024;2259
02/04/2024;1853
03/04/2024;1921
04/04/2024;1657
05/04/2024;2101
06/04/2024;2359
07/04/2024;2396
08/04/2024;1674
09/04/2024;1516
10/04/2024;1599
11/04/2024;1738
12/04/2024;2708
13/04/2024;3305
14/04/2024;3279
15/04/2024;2364
16/04/2024;1707
17/04/2024;1469
18/04/2024;1690
19/04/2024;1944
20/04/2024;2066
21/04/2024;2400
22/04/2024;1612
23/04/2024;1519
24/04/2024;1557
25/04/2024;1626
26/04/2024;1987
27/04/2024;2126
28/04/2024;2113
29/04/2024;1617
30/04/2024;2291
01/05/2024;2809
02/05/2024;1648
03/05/2024;2143
04/05/2024;2275
05/05/2024;2247
06/05/2024;1705
07/05/2024;1640
08/05/2024;1730
09/05/2024;1623
10/05/2024;1799
11/05/2024;2140
12/05/2024;2355
13/05/2024;1529
14/05/2024;1433
15/05/2024;1488
16/05/2024;1342
17/05/2024;1610
18/05/2024;1583
19/05/2024;1983
20/05/2024;1372
21/05/2024;1263
22/05/2024;1295
23/05/2024;1432
24/05/2024;1754
25/05/2024;2109
26/05/2024;2109
27/05/2024;1878
28/05/2024;2096
29/05/2024;1593
30/05/2024;1529
31/05/2024;2033
01/06/2024;2485
02/06/2024;2568
03/06/2024;1757
04/06/2024;1560
05/06/2024;1534
06/06/2024;1587
07/06/2024;1926
08/06/2024;2306
09/06/2024;2282
10/06/2024;1483
11/06/2024;1387
12/06/2024;1530
13/06/2024;1507
14/06/2024;1980
15/06/2024;2097
16/06/2024;2288
17/06/2024;1914
18/06/2024;1650
19/06/2024;1679
20/06/2024;2124
21/06/2024;2475
22/06/2024;2291
23/06/2024;2301
24/06/2024;1644
25/06/2024;2093
26/06/2024;1622
27/06/2024;1608
28/06/2024;2256
29/06/2024;2806
30/06/2024;2636
01/07/2024;1951
02/07/2024;1671
03/07/2024;1754
04/07/2024;2023
05/07/2024;2515
06/07/2024;2775
07/07/2024;2921
08/07/2024;2354
09/07/2024;2465
10/07/2024;1975
11/07/2024;1948
12/07/2024;2155
13/07/2024;2388
14/07/2024;2792
15/07/2024;2066
16/07/2024;1818
17/07/2024;1771
18/07/2024;1763
19/07/2024;2215
20/07/2024;3154
21/07/2024;2881
22/07/2024;1768
23/07/2024;1711
24/07/2024;1803
25/07/2024;1718
26/07/2024;1949
27/07/2024;2230
28/07/2024;2381
29/07/2024;2138
30/07/2024;1941
31/07/2024;1873
01/08/2024;1846
02/08/2024;2338
03/08/2024;2493
04/08/2024;2378
05/08/2024;1762
06/08/2024;2008
07/08/2024;1829
08/08/2024;2399
09/08/2024;2270
10/08/2024;2379
11/08/2024;2601
12/08/2024;1590
13/08/2024;1467
14/08/2024;1534
15/08/2024;1789
16/08/2024;1978
17/08/2024;2228
18/08/2024;2443
19/08/2024;1755
20/08/2024;1570
21/08/2024;1705
22/08/2024;1693
23/08/2024;2077
24/08/2024;2268
25/08/2024;2508
26/08/2024;1512
27/08/2024;1310
28/08/2024;1257
29/08/2024;1424
30/08/2024;3055
31/08/2024;3358
01/09/2024;2423
02/09/2024;1384
03/09/2024;1277
04/09/2024;1319
